position,season,specification,method,alpha,l1_ratio,training_rows,market_calibration_alpha,market_calibration_beta,market_calibration_rows,mae,rmse,spearman,top_n_overlap_rate
QB,2012,SELECTED_MAIN,ridge,1.0,,178,,,0,2.913811892870529,4.282181065683652,0.6008064516129032,0.6
QB,2013,SELECTED_MAIN,ridge,10.0,,209,,,0,2.8607653306491523,3.521820005684794,0.5023395721925134,0.7
QB,2014,SELECTED_MAIN,ridge,10.0,,242,,,0,3.581481553489178,4.4168731670169965,0.6485867074102367,0.5
QB,2015,SELECTED_MAIN,ridge,10.0,,276,,,0,3.9447532707006316,4.860018998504371,0.590080971659919,0.5
QB,2016,SELECTED_MAIN,ridge,100.0,,315,,,0,2.8823022733792825,3.9601216283129164,0.7023744392165444,0.4
QB,2017,SELECTED_MAIN,ridge,100.0,,353,,,0,2.7728457222624154,3.620315103474913,0.6173020527859236,0.7
QB,2018,SELECTED_MAIN,ridge,10.0,,385,,,0,3.476130079095739,4.491538146326798,0.5683473389355742,0.6
QB,2019,SELECTED_MAIN,ridge,10.0,,420,,,0,2.9770936294004415,4.184208777170212,0.6467245989304814,0.4
QB,2020,SELECTED_MAIN,ridge,10.0,,453,,,0,3.4426237292554283,4.3572494193127715,0.7977591036414566,0.7
QB,2021,SELECTED_MAIN,ridge,10.0,,488,,,0,2.7973233450227872,3.7282620428556386,0.8406692406692409,0.8
QB,2022,SELECTED_MAIN,ridge,10.0,,524,,,0,3.058533069065827,3.8309890569636345,0.5628919860627178,0.5
QB,2023,SELECTED_MAIN,ridge,10.0,,565,,,0,3.454682115809392,4.463294708453507,0.6742914979757085,0.7
QB,2024,SELECTED_MAIN,ridge,10.0,,604,,,0,3.2247055056337186,4.200584656230331,0.7804288734521293,0.5
QB,2025,SELECTED_MAIN,ridge,10.0,,647,,,0,3.7911611272556653,4.677367394067239,0.6079734219269103,0.4
RB,2021,SELECTED_MAIN,ols,,,1042,31.967915319224648,0.35,78,2.251761651304152,2.9144753227771707,0.7790771709019857,0.8
RB,2022,SELECTED_MAIN,ols,,,1124,31.487386655122744,0.33999999999999997,152,2.3036218782078306,2.751569646567561,0.8615595075239396,0.75
RB,2023,SELECTED_MAIN,ols,,,1210,27.21408306587063,0.32,230,2.559602797396103,3.4165781877059738,0.7544037940379402,0.55
RB,2024,SELECTED_MAIN,ols,,,1291,31.49388149311279,0.36,309,2.527663283979233,3.289763268875527,0.8044162713572058,0.75
RB,2025,SELECTED_MAIN,ols,,,1374,32.0737196565245,0.36,389,2.1590259526745537,2.788510056923283,0.8362144184928993,0.75
WR,2019,SELECTED_MAIN,ols,,,1386,,,0,1.897694714458842,2.3838439916241936,0.747662463142847,0.55
WR,2020,SELECTED_MAIN,ols,,,1510,,,0,1.5890064538382698,2.0897427387479515,0.8434195725534309,0.65
WR,2021,SELECTED_MAIN,ridge,0.01,,1636,,,0,1.7723945411569215,2.382585744407088,0.7616141383634102,0.55
WR,2022,SELECTED_MAIN,ols,,,1776,,,0,1.616417183191822,1.9886974737458547,0.776837404795409,0.7
WR,2023,SELECTED_MAIN,ridge,0.01,,1912,,,0,1.8888919676834477,2.2911678063031613,0.7833270421644342,0.75
WR,2024,SELECTED_MAIN,ridge,1.0,,2045,,,0,1.9674498520616555,2.382916107826073,0.7573218418534505,0.55
WR,2025,SELECTED_MAIN,ridge,1.0,,2179,,,0,1.6406563278484103,2.0240285372461377,0.840114594045122,0.65
WR,2019,SELECTED_WR_PARTICIPATION_FALLBACK,ols,,,1386,,,0,1.898723659904598,2.3873558266125188,0.7458497115684821,0.55
WR,2020,SELECTED_WR_PARTICIPATION_FALLBACK,ols,,,1510,,,0,1.5973380288718384,2.0958811437797142,0.8423337082864641,0.65
WR,2021,SELECTED_WR_PARTICIPATION_FALLBACK,ridge,0.1,,1636,,,0,1.786513180353556,2.394126053451126,0.7589376111137761,0.55
WR,2022,SELECTED_WR_PARTICIPATION_FALLBACK,ols,,,1776,,,0,1.6330132480479242,2.003208469632021,0.77644858654051,0.7
WR,2023,SELECTED_WR_PARTICIPATION_FALLBACK,ridge,0.1,,1912,,,0,1.8776895423937916,2.3008293396432693,0.7828883606574101,0.75
WR,2024,SELECTED_WR_PARTICIPATION_FALLBACK,ridge,1.0,,2045,,,0,1.9556132767250045,2.3651342944698293,0.7646287207938833,0.55
WR,2025,SELECTED_WR_PARTICIPATION_FALLBACK,ridge,1.0,,2179,,,0,1.640636694695613,2.0218330596809944,0.8391962196393792,0.65
TE,2012,SELECTED_TE_CONSTRAINED_RESIDUAL,frozen_v1_fallback,,,0,,,0,1.3204252748037515,1.736135660797541,0.742621750719055,0.5
TE,2013,SELECTED_TE_CONSTRAINED_RESIDUAL,frozen_v1_fallback,,,65,,,0,1.4328219224368506,2.011871651648442,0.7665291266247749,0.6
TE,2014,SELECTED_TE_CONSTRAINED_RESIDUAL,frozen_v1_fallback,,,125,,,0,1.4224598365449712,1.806660550383004,0.6980332167832167,0.7
TE,2015,SELECTED_TE_CONSTRAINED_RESIDUAL,frozen_v1_fallback,,,190,,,0,1.5683659437936808,2.1651918911458754,0.6529900485646026,0.5
TE,2016,SELECTED_TE_CONSTRAINED_RESIDUAL,frozen_v1_fallback,,,261,,,0,1.2868884434947143,1.6718289857383057,0.7398164335664336,0.8
TE,2017,SELECTED_TE_CONSTRAINED_RESIDUAL,frozen_v1_plus_constrained_residual,,,326,,,0,1.1465262781964825,1.4846933192301037,0.7410880865570223,0.8
