position,season,players,mae_ppg,top_n,top_n_overlap_percentage
QB,2012,31,2.913811892870529,10,60.0
QB,2013,33,2.8607653306491523,10,70.0
QB,2014,34,3.581481553489178,10,50.0
QB,2015,39,3.9447532707006316,10,50.0
QB,2016,38,2.8823022733792825,10,40.0
QB,2017,32,2.7728457222624154,10,70.0
QB,2018,35,3.476130079095739,10,60.0
QB,2019,33,2.9770936294004415,10,40.0
QB,2020,35,3.4426237292554283,10,70.0
QB,2021,36,2.7973233450227872,10,80.0
QB,2022,41,3.058533069065827,10,50.0
QB,2023,39,3.454682115809392,10,70.0
QB,2024,43,3.2247055056337186,10,50.0
QB,2025,43,3.7911611272556653,10,40.0
RB,2021,82,2.251761651304152,20,80.0
RB,2022,86,2.3036218782078306,20,75.0
RB,2023,81,2.559602797396103,20,55.0
RB,2024,83,2.527663283979233,20,75.0
RB,2025,78,2.1590259526745537,20,75.0
TE,2012,65,1.3204252748037515,10,50.0
TE,2013,60,1.4328219224368506,10,60.0
TE,2014,65,1.4224598365449712,10,70.0
TE,2015,71,1.5683659437936808,10,50.0
TE,2016,65,1.2868884434947143,10,80.0
TE,2017,67,1.1465262781964825,10,80.0
TE,2018,67,1.3668638230759678,10,60.0
TE,2019,68,1.4656946041035699,10,60.0
TE,2020,74,1.5828099465851724,10,40.0
TE,2021,71,1.1615674038196642,10,50.0
TE,2022,74,1.1098288840392718,10,70.0
TE,2023,70,1.1379086514261667,10,60.0
TE,2024,74,1.2943793850297451,10,60.0
TE,2025,77,1.2012001707213462,10,60.0
WR,2019,124,1.897694714458842,20,55.0
WR,2020,126,1.5890064538382698,20,65.0
WR,2021,140,1.7723945411569215,20,55.0
WR,2022,136,1.616417183191822,20,70.0
WR,2023,133,1.8888919676834477,20,75.0
WR,2024,134,1.9674498520616555,20,55.0
WR,2025,136,1.6406563278484103,20,65.0
