position,season,method,players,mae_ppg,top_n,top_n_overlap_percentage
QB,2012,Previous-season PPG,31,3.371346448354513,10,70.0
QB,2012,V1 linear regression,31,3.0390574666315033,10,60.0
QB,2012,V2 selected model,31,2.913811892870529,10,60.0
QB,2013,Previous-season PPG,33,2.911884428702611,10,60.0
QB,2013,V1 linear regression,33,3.2799517768065454,10,60.0
QB,2013,V2 selected model,33,2.8607653306491523,10,70.0
QB,2014,Previous-season PPG,34,3.8454724376930254,10,60.0
QB,2014,V1 linear regression,34,3.898176316481101,10,40.0
QB,2014,V2 selected model,34,3.581481553489178,10,50.0
QB,2015,Previous-season PPG,39,4.0726976527745755,10,60.0
QB,2015,V1 linear regression,39,4.423914007548109,10,70.0
QB,2015,V2 selected model,39,3.9447532707006316,10,50.0
QB,2016,Previous-season PPG,38,3.2049409274935594,10,50.0
QB,2016,V1 linear regression,38,3.136117302660139,10,60.0
QB,2016,V2 selected model,38,2.8823022733792825,10,40.0
QB,2017,Previous-season PPG,32,3.648604010572761,10,50.0
QB,2017,V1 linear regression,32,2.8400053215086407,10,40.0
QB,2017,V2 selected model,32,2.7728457222624154,10,70.0
QB,2018,Previous-season PPG,35,3.832693922743923,10,50.0
QB,2018,V1 linear regression,35,4.054670766110299,10,60.0
QB,2018,V2 selected model,35,3.476130079095739,10,60.0
QB,2019,Previous-season PPG,33,4.0566675008493185,10,50.0
QB,2019,V1 linear regression,33,3.19837170706923,10,50.0
QB,2019,V2 selected model,33,2.9770936294004415,10,40.0
QB,2020,Previous-season PPG,35,3.2376178393035535,10,80.0
QB,2020,V1 linear regression,35,4.151597614712617,10,70.0
QB,2020,V2 selected model,35,3.4426237292554283,10,70.0
QB,2021,Previous-season PPG,36,3.6047942563971977,10,80.0
QB,2021,V1 linear regression,36,3.3851199785107773,10,70.0
QB,2021,V2 selected model,36,2.7973233450227872,10,80.0
QB,2022,Previous-season PPG,41,3.3221815408407944,10,60.0
QB,2022,V1 linear regression,41,3.182465485718425,10,40.0
QB,2022,V2 selected model,41,3.058533069065827,10,50.0
QB,2023,Previous-season PPG,39,4.278026783673842,10,50.0
QB,2023,V1 linear regression,39,3.4422250551959794,10,60.0
QB,2023,V2 selected model,39,3.454682115809392,10,70.0
QB,2024,Previous-season PPG,43,4.074210976513987,10,50.0
QB,2024,V1 linear regression,43,3.3720451968401295,10,50.0
QB,2024,V2 selected model,43,3.2247055056337186,10,50.0
QB,2025,Previous-season PPG,43,4.122603192824807,10,40.0
QB,2025,V1 linear regression,43,4.044565387227431,10,40.0
QB,2025,V2 selected model,43,3.7911611272556653,10,40.0
RB,2021,Previous-season PPG,82,2.662360361422413,20,65.0
RB,2021,V1 linear regression,82,2.2407609412707057,20,80.0
RB,2021,V2 selected model,82,2.251761651304152,20,80.0
RB,2022,Previous-season PPG,86,2.702462990061315,20,70.0
RB,2022,V1 linear regression,86,2.2687364106556647,20,65.0
RB,2022,V2 selected model,86,2.3036218782078306,20,75.0
RB,2023,Previous-season PPG,81,2.9660538864024706,20,50.0
RB,2023,V1 linear regression,81,2.6783677649377067,20,55.0
RB,2023,V2 selected model,81,2.559602797396103,20,55.0
RB,2024,Previous-season PPG,83,2.481034111667528,20,75.0
RB,2024,V1 linear regression,83,2.5780878144127115,20,80.0
RB,2024,V2 selected model,83,2.527663283979233,20,75.0
RB,2025,Previous-season PPG,78,2.343785758191867,20,70.0
RB,2025,V1 linear regression,78,2.278472977536068,20,70.0
RB,2025,V2 selected model,78,2.1590259526745537,20,75.0
TE,2012,Previous-season PPG,65,1.5531968288122135,10,50.0
TE,2012,V1 linear regression,65,1.3220636696752173,10,50.0
TE,2012,V2 selected model,65,1.3204252748037515,10,50.0
TE,2013,Previous-season PPG,60,1.4795836478336477,10,50.0
TE,2013,V1 linear regression,60,1.4275796751630383,10,60.0
TE,2013,V2 selected model,60,1.4328219224368506,10,60.0
TE,2014,Previous-season PPG,65,1.6368235802658881,10,50.0
TE,2014,V1 linear regression,65,1.3714117703470603,10,60.0
TE,2014,V2 selected model,65,1.4224598365449712,10,70.0
TE,2015,Previous-season PPG,71,1.8541471068055573,10,50.0
TE,2015,V1 linear regression,71,1.55755696541553,10,50.0
TE,2015,V2 selected model,71,1.5683659437936808,10,50.0
TE,2016,Previous-season PPG,65,1.5577038047422664,10,70.0
TE,2016,V1 linear regression,65,1.2707529950887582,10,80.0
TE,2016,V2 selected model,65,1.2868884434947143,10,80.0
TE,2017,Previous-season PPG,67,1.3568550624334208,10,70.0
TE,2017,V1 linear regression,67,1.1798764078141324,10,80.0
TE,2017,V2 selected model,67,1.1465262781964825,10,80.0
TE,2018,Previous-season PPG,67,1.4863389077754747,10,50.0
TE,2018,V1 linear regression,67,1.3563298439833782,10,60.0
TE,2018,V2 selected model,67,1.3668638230759678,10,60.0
TE,2019,Previous-season PPG,68,1.5656965461009578,10,60.0
TE,2019,V1 linear regression,68,1.4609503077888086,10,60.0
TE,2019,V2 selected model,68,1.4656946041035699,10,60.0
TE,2020,Previous-season PPG,74,1.9251019341019338,10,40.0
TE,2020,V1 linear regression,74,1.6010295464031281,10,40.0
TE,2020,V2 selected model,74,1.5828099465851724,10,40.0
TE,2021,Previous-season PPG,71,1.3455986784089515,10,50.0
TE,2021,V1 linear regression,71,1.1775381915603316,10,60.0
TE,2021,V2 selected model,71,1.1615674038196642,10,50.0
TE,2022,Previous-season PPG,74,1.1741535406608936,10,70.0
TE,2022,V1 linear regression,74,1.1168185002756599,10,70.0
TE,2022,V2 selected model,74,1.1098288840392718,10,70.0
TE,2023,Previous-season PPG,70,1.2605262964160024,10,60.0
TE,2023,V1 linear regression,70,1.1249553811884456,10,70.0
TE,2023,V2 selected model,70,1.1379086514261667,10,60.0
TE,2024,Previous-season PPG,74,1.3817267176826,10,50.0
TE,2024,V1 linear regression,74,1.2924936467764296,10,50.0
TE,2024,V2 selected model,74,1.2943793850297451,10,60.0
TE,2025,Previous-season PPG,77,1.3972686041994677,10,60.0
TE,2025,V1 linear regression,77,1.2039171302993164,10,60.0
TE,2025,V2 selected model,77,1.2012001707213462,10,60.0
WR,2019,Previous-season PPG,124,2.1624855422487066,20,50.0
WR,2019,V1 linear regression,124,1.917727290114802,20,60.0
WR,2019,V2 selected model,124,1.897694714458842,20,55.0
WR,2020,Previous-season PPG,126,1.8018211279590832,20,60.0
WR,2020,V1 linear regression,126,1.741883272336545,20,65.0
WR,2020,V2 selected model,126,1.5890064538382698,20,65.0
WR,2021,Previous-season PPG,140,2.0754913836513627,20,60.0
WR,2021,V1 linear regression,140,1.8152519715715025,20,65.0
WR,2021,V2 selected model,140,1.7723945411569215,20,55.0
WR,2022,Previous-season PPG,136,1.9009159849425856,20,60.0
WR,2022,V1 linear regression,136,1.7276857213958319,20,70.0
WR,2022,V2 selected model,136,1.616417183191822,20,70.0
WR,2023,Previous-season PPG,133,2.008619764517266,20,65.0
WR,2023,V1 linear regression,133,1.8832938880346837,20,70.0
WR,2023,V2 selected model,133,1.8888919676834477,20,75.0
WR,2024,Previous-season PPG,134,2.1942542893040042,20,50.0
WR,2024,V1 linear regression,134,2.1330239483187134,20,50.0
WR,2024,V2 selected model,134,1.9674498520616555,20,55.0
WR,2025,Previous-season PPG,136,1.9327988986455684,20,60.0
WR,2025,V1 linear regression,136,1.73094024484375,20,50.0
WR,2025,V2 selected model,136,1.6406563278484103,20,65.0
