rank,player_id,player_name,position,target_team,projected_ppg
1,00-0034857,Josh Allen,QB,BUF,20.061005121349353
2,00-0036389,Jalen Hurts,QB,PHI,17.992167970271428
3,00-0039851,Drake Maye,QB,NE,17.864946778978087
4,00-0040691,Jaxson Dart,QB,NYG,17.544322363047442
5,00-0037834,Brock Purdy,QB,SF,17.172527601977603
6,00-0034796,Lamar Jackson,QB,BAL,17.025036813962636
7,00-0026498,Matthew Stafford,QB,LAR,16.989309929679674
8,00-0036971,Trevor Lawrence,QB,JAX,16.881645658280444
9,00-0033873,Patrick Mahomes,QB,KC,16.869047749850917
10,00-0036355,Justin Herbert,QB,LAC,16.752867101733752
11,00-0039732,Bo Nix,QB,DEN,16.719130381665025
12,00-0039918,Caleb Williams,QB,CHI,16.58816614168039
13,00-0033106,Jared Goff,QB,DET,16.35971818765586
14,00-0033077,Dak Prescott,QB,DAL,16.315328480969487
15,00-0036442,Joe Burrow,QB,CIN,16.083476246336375
16,00-0034855,Baker Mayfield,QB,TB,15.555298106752614
17,00-0039163,C.J. Stroud,QB,HOU,15.496363030113258
18,00-0039910,Jayden Daniels,QB,WAS,15.35219688455935
19,00-0036264,Jordan Love,QB,GB,14.949728852547016
20,00-0026158,Joe Flacco,QB,CIN,14.714541116635171
21,00-0035710,Daniel Jones,QB,IND,14.300683508483441
22,00-0039923,J.J. McCarthy,QB,MIN,14.135106200287044
23,00-0040743,Tyler Shough,QB,NO,14.124519103934388
24,00-0036945,Justin Fields,QB,KC,13.844844792113586
25,00-0036212,Tua Tagovailoa,QB,ATL,13.584661855494826
26,00-0035228,Kyler Murray,QB,MIN,13.523360367814682
27,00-0039150,Bryce Young,QB,CAR,13.222755380197787
28,00-0033119,Jacoby Brissett,QB,ARI,12.985027685125543
29,00-0034869,Sam Darnold,QB,SEA,12.892603816836697
30,00-0040676,Cam Ward,QB,TEN,12.621280255437174
31,00-0030565,Geno Smith,QB,NYJ,12.605382729809856
32,00-0036972,Mac Jones,QB,SF,12.353942423849093
33,00-0023459,Aaron Rodgers,QB,PIT,12.276647397062295
34,00-0029604,Kirk Cousins,QB,LV,12.18868042497938
35,00-0032268,Marcus Mariota,QB,WAS,11.332279596096217
36,00-0038128,Malik Willis,QB,MIA,11.164880429455277
37,00-0039376,Spencer Rattler,QB,NO,10.664693953570474
38,00-0032950,Carson Wentz,QB,MIN,10.383967880459226
39,00-0039917,Michael Penix Jr.,QB,ATL,9.990245262796378
40,00-0031503,Jameis Winston,QB,NYG,9.340365555413014
41,00-0040234,Quinn Ewers,QB,MIA,9.121190941739624
42,00-0026300,Josh Johnson,QB,CIN,7.99397190590669
43,00-0039164,Anthony Richardson,QB,IND,7.975134821717383
44,00-0035289,Gardner Minshew,QB,ARI,7.193574170517946
45,00-0033869,Mitchell Trubisky,QB,TEN,7.118573876936095
46,00-0028118,Tyrod Taylor,QB,GB,7.038035854345894
47,00-0036898,Davis Mills,QB,HOU,6.894847618522178
48,00-0039398,Joe Milton III,QB,DAL,6.871710013101143
49,00-0040206,Riley Leonard,QB,IND,6.784258670287269
50,00-0037013,Zach Wilson,QB,NO,6.672823219128937
51,00-0035993,Tyler Huntley,QB,BAL,6.567852248322641
52,00-0035100,Jake Browning,QB,TB,6.4443055915589555
53,00-0034771,Mason Rudolph,QB,PIT,5.983492880875158
54,00-0038400,Tanner McKee,QB,PHI,5.656852417306703
55,00-0040668,Shedeur Sanders,QB,CLE,5.481935394514428
56,00-0038579,Aidan O'Connell,QB,LV,5.390777248218576
57,00-0040494,Max Brosmer,QB,MIN,5.177109143095537
58,00-0027973,Andy Dalton,QB,PHI,4.854906827893357
59,00-0033319,Nick Mullens,QB,JAX,4.513113449901093
60,00-0038102,Kenny Pickett,QB,CAR,4.199893364647657
61,00-0037012,Trey Lance,QB,LAC,4.189400975464775
62,00-0040704,Dillon Gabriel,QB,CLE,4.098736139028272
63,00-0040398,Brady Cook,QB,NYJ,3.9130710843165843
64,00-0035704,Drew Lock,QB,SEA,3.8512120932516574
65,00-0038416,Tyson Bagent,QB,CHI,3.6970117710542656
66,00-0038658,Adrian Martinez,QB,SF,3.4098855501464786
67,00-0035264,Jarrett Stidham,QB,DEN,3.137220207263553
68,00-0039577,Kedon Slovis,QB,ARI,3.101818110768752
69,00-0037324,Chris Oladokun,QB,KC,2.0862290461280217
70,00-0036679,Shane Buechele,QB,BUF,1.909885886303762
71,00-0031237,Teddy Bridgewater,QB,DET,1.7952280605869593
72,00-0040673,Jalen Milroe,QB,SEA,1.4552839282905534
73,00-0034577,Kyle Allen,QB,BUF,0.7978717126407116
74,00-0032434,Brandon Allen,QB,NYG,-0.8027329899634026
1,00-0039139,Jahmyr Gibbs,RB,DET,18.813127105176207
2,00-0038542,Bijan Robinson,RB,ATL,18.071085632391746
3,00-0036223,Jonathan Taylor,RB,IND,16.03835311794035
4,00-0033280,Christian McCaffrey,RB,SF,15.349022075497052
5,00-0037248,James Cook,RB,BUF,14.287669737108741
6,00-0039040,De'Von Achane,RB,MIA,14.196974235728527
7,00-0032764,Derrick Henry,RB,BAL,13.414981981987154
8,00-0037840,Kyren Williams,RB,LAR,12.955174189116862
9,00-0040122,Ashton Jeanty,RB,LV,12.29023480433574
10,00-0034844,Saquon Barkley,RB,PHI,12.205904774470767
11,00-0035700,Josh Jacobs,RB,GB,11.528649621793864
12,00-0038120,Breece Hall,RB,NYJ,11.413930859329746
13,00-0038134,Kenneth Walker III,RB,KC,10.848557064527482
14,00-0040666,Omarion Hampton,RB,LAC,10.651363077517574
15,00-0038597,Chase Brown,RB,CIN,10.486257752160398
16,00-0040784,Quinshon Judkins,RB,CLE,10.427469358658128
17,00-0036275,D'Andre Swift,RB,CHI,9.84151382664577
18,00-0039361,Bucky Irving,RB,TB,9.720970126695327
19,00-0040715,Cam Skattebo,RB,NYG,9.640871081949484
20,00-0040734,TreVeyon Henderson,RB,NE,9.56669863537304
21,00-0036997,Javonte Williams,RB,DAL,9.459336419067926
22,00-0036158,J.K. Dobbins,RB,DEN,9.282925036533406
23,00-0036555,Chuba Hubbard,RB,CAR,8.510813332756502
24,00-0036973,Travis Etienne,RB,NO,8.440003569463164
25,00-0037228,Jaylen Warren,RB,PIT,8.287004789977233
26,00-0035261,Tony Pollard,RB,TEN,8.219852139779379
27,00-0036875,Rhamondre Stevenson,RB,NE,8.055424754106458
28,00-0036139,Rico Dowdle,RB,PIT,7.729571410599192
29,00-0039165,Zach Charbonnet,RB,SEA,7.667045891508648
30,00-0035685,David Montgomery,RB,HOU,7.659496648730822
31,00-0040242,Jacory Croskey-Merritt,RB,WAS,7.553233047099868
32,00-0040236,Kyle Monangai,RB,CHI,7.547341897808227
33,00-0040730,RJ Harvey,RB,DEN,7.385210107657382
34,00-0033293,Aaron Jones,RB,MIN,7.103138067467935
35,00-0037525,Jordan Mason,RB,MIN,7.060702262604117
36,00-0039384,Tyrone Tracy Jr.,RB,NYG,6.611973462508536
37,00-0040583,Woody Marks,RB,HOU,6.608130443174748
38,00-0037256,Rachaad White,RB,WAS,6.492122601115855
39,00-0039738,Blake Corum,RB,LAR,6.259739694788291
40,00-0039391,Kimani Vidal,RB,LAC,6.186539935601426
41,00-0040719,Bhayshul Tuten,RB,JAX,5.624779580813036
42,00-0033553,James Conner,RB,ARI,5.570613016503395
43,00-0039373,Audric Estimé,RB,NO,5.5460566138118
44,00-0033906,Alvin Kamara,RB,NO,5.528743824736375
45,00-0039032,Tyjae Spears,RB,TEN,5.475704564365296
46,00-0040162,Dylan Sampson,RB,CLE,5.352583152603116
47,00-0039921,Trey Benson,RB,ARI,5.351652944904755
48,00-0038611,Chris Rodriguez Jr.,RB,JAX,5.33450142086898
49,00-0036919,Kenneth Gainwell,RB,TB,5.223927754742999
50,00-0038555,Tank Bigsby,RB,PHI,5.148183703205145
51,00-0037263,Tyler Allgeier,RB,ARI,5.120704684022004
52,00-0040021,Phil Mafah,RB,DAL,5.029127637167533
53,00-0037197,Isiah Pacheco,RB,DET,4.97686611659934
54,00-0039874,Jaylen Wright,RB,MIA,4.8113661733460305
55,00-0039405,Jawhar Jordan,RB,HOU,4.657593697381072
56,00-0039794,Braelon Allen,RB,NYJ,4.469264213497858
57,00-0039798,Isaiah Davis,RB,NYJ,4.468348009406206
58,00-0037746,Brian Robinson,RB,ATL,4.380700439071654
59,00-0040644,Trevor Etienne,RB,CAR,4.369853363679642
60,00-0040466,Raheim Sanders,RB,CLE,4.30108657649802
61,00-0038454,Keaton Mitchell,RB,LAC,4.2315238320578
62,00-0035250,Devin Singletary,RB,NYG,4.184092815506135
63,00-0037157,Bam Knight,RB,ARI,4.162487744353237
64,00-0040202,Devin Neal,RB,NO,4.158279338966688
65,00-0036924,Michael Carter,RB,TEN,4.107321007346277
66,00-0040078,Brashard Smith,RB,KC,4.081912024950862
67,00-0040198,Ollie Gordon II,RB,MIA,3.9924955644134266
68,00-0038951,Sean Tucker,RB,TB,3.9705014886749472
69,00-0034975,Justice Hill,RB,BAL,3.9233700309453097
70,00-0038705,Emari Demercado,RB,KC,3.8676089311454316
71,00-0038551,Kendre Miller,RB,NO,3.8617820727833
